gen	nevals	Avg   	Std    	Min	Max
389	60    	102.92	11.1595	98 	138
390	55    	101.61	9.78764	98 	136
391	58    	102.64	10.1927	98 	132
392	70    	104.39	11.9699	98 	140
393	63    	104.85	12.6573	98 	141
394	65    	103.48	11.4747	98 	142
395	68    	103.56	11.7075	98 	138
396	59    	104.49	12.2609	98 	146
397	63    	106.26	13.6555	98 	140
398	63    	106.52	13.8524	98 	140
399	55    	103.65	10.5094	97 	129
400	68    	104.69	11.8251	98 	140
401	52    	102.3 	9.85951	97 	137
402	51    	104.48	11.9937	96 	137
403	61    	105.08	12.6037	96 	141
404	57    	106.09	13.5352	96 	137
405	57    	102.42	11.2447	96 	138
406	60    	101.79	10.9364	96 	137
407	58    	101.25	10.2033	96 	139
408	55    	102.87	12.4223	96 	143
409	64    	103.24	12.8943	96 	140
410	68    	100.9 	11.1261	96 	142
411	61    	101.98	11.8414	96 	132
412	67    	105.42	14.3563	96 	151
413	69    	102.25	12.066 	96 	143
414	65    	102.91	13.0108	96 	136
415	56    	99.85 	9.19062	96 	137
416	54    	101.51	11.2263	96 	134
417	59    	102.12	12.08  	96 	133
418	60    	101.82	12.5486	95 	147
419	62    	102.12	11.7408	95 	133
420	59    	102   	12.4587	95 	146
421	60    	102.97	13.0801	95 	138
422	59    	101.23	12.6987	95 	137
423	59    	100.42	11.5397	95 	137
424	64    	102.83	13.3993	95 	141
425	54    	100.43	11.07  	95 	133
426	63    	102.27	12.884 	95 	132
427	56    	100.21	11.8019	95 	140
428	61    	101.69	12.9303	95 	137
429	56    	100.16	11.8918	94 	151
430	46    	99.1  	9.98749	94 	130
431	62    	102.51	12.2878	94 	133
432	55    	100.88	12.0601	93 	129
433	54    	98.84 	10.464 	93 	135
434	51    	101.28	13.1507	93 	139
435	57    	100.38	13.215 	93 	144
436	58    	98.73 	11.7574	93 	140
437	50    	99.41 	12.8958	93 	144
438	73    	99.61 	12.3878	93 	135
439	55    	97.23 	10.6704	93 	136
440	51    	96.28 	9.49324	93 	130
441	48    	96.13 	9.09577	93 	129
442	56    	97.27 	10.3139	93 	129
443	56    	96.33 	9.20223	93 	130
444	54    	97.73 	11.0561	93 	130
445	61    	100.06	13.0383	93 	133
446	59    	98.98 	12.5315	93 	141
447	60    	98.52 	11.6477	93 	135
448	56    	99.13 	12.4279	93 	138
449	57    	96.59 	10.4394	93 	142
450	69    	99.39 	12.5872	93 	136
451	57    	99.88 	12.9269	93 	136
452	64    	98.15 	11.1968	93 	134
453	66    	98.43 	11.3086	93 	132
454	64    	98.55 	11.2084	93 	130
455	57    	98.59 	12.4122	93 	138
456	62    	99.55 	12.7007	93 	135
457	62    	98.8  	12.6071	93 	140
458	51    	99.87 	12.8745	93 	131
459	73    	99.37 	12.583 	93 	132
460	62    	98.41 	12.1672	93 	133
461	52    	98.76 	12.2189	93 	134
462	64    	101.16	13.7744	93 	133
463	49    	99.5  	12.6748	93 	141
464	41    	99.74 	13.1967	93 	143
465	56    	99.85 	12.9347	93 	134
466	68    	99.03 	12.917 	93 	147
467	66    	99.36 	12.4864	93 	143
468	56    	99.2  	12.0482	93 	137
469	64    	96.55 	10.2707	93 	144
470	61    	99.05 	12.4188	93 	143
471	57    	100.96	13.8426	93 	138
472	61    	98.35 	12.1798	93 	144
473	63    	100.16	13.4244	93 	134
474	75    	99.21 	11.6639	93 	129
475	54    	99.11 	11.5359	93 	134
476	62    	98.09 	11.5725	93 	135
477	56    	97.85 	10.9091	93 	129
478	65    	99.84 	12.6615	93 	141
479	51    	98.67 	11.9942	93 	137
480	59    	98.4  	12.0996	93 	150
481	62    	98.08 	11.3505	93 	135
482	63    	98.72 	11.6723	93 	130
483	49    	98.42 	11.1814	93 	137
484	51    	98.53 	12.0652	93 	133
485	59    	100.36	12.6898	93 	131
486	69    	98.77 	11.2595	93 	130
487	60    	98.12 	12.0485	93 	142
488	55    	98.62 	11.2781	93 	135
489	61    	98.7  	11.7928	93 	136
490	55    	97.6  	11.1131	93 	133
491	67    	99.13 	11.8597	93 	131
492	44    	97.18 	10.6022	93 	135
493	65    	97.51 	10.6146	93 	131
494	63    	97.26 	11.1316	93 	151
495	63    	99.98 	13.1825	93 	136
496	57    	101.56	13.8646	93 	138
497	54    	99.62 	12.3384	93 	133
498	60    	99.46 	12.7659	93 	135
499	59    	96.4  	9.85089	93 	131
500	46    	96.69 	10.1811	92 	131
501	58    	98.82 	11.1359	92 	132
502	62    	97.26 	10.61  	92 	130
503	55    	98.76 	12.4267	92 	140
504	67    	99.25 	13.2999	92 	134
505	57    	97.71 	12.3428	92 	139
506	57    	96.05 	10.589 	92 	132
507	61    	97.12 	12.1279	92 	136
508	53    	97.12 	11.444 	92 	136
509	50    	96.91 	12.45  	92 	141
510	60    	97.43 	12.3525	92 	138
511	59    	98.15 	12.8673	92 	136
512	66    	96.29 	10.6764	92 	135
513	56    	98.73 	12.9459	92 	134
514	63    	97.62 	11.9212	92 	136
515	51    	98.25 	12.4566	92 	135
516	55    	97.44 	11.4563	92 	133
517	55    	97.61 	11.969 	92 	135
518	54    	97.89 	12.387 	92 	136
519	64    	98.3  	12.2495	92 	133
520	63    	99.51 	13.0641	92 	135
521	62    	98.82 	13.17  	92 	138
522	61    	98.54 	13.3045	92 	142
523	52    	96.83 	11.5222	92 	134
524	55    	98.25 	12.9378	92 	141
525	68    	98.95 	12.3842	92 	134
526	66    	99.73 	13.0329	92 	129
527	60    	97.11 	11.0208	92 	131
528	68    	100.68	13.8035	92 	137
529	58    	96.94 	11.8049	92 	138
530	61    	101.12	15.0468	92 	135
531	66    	98.97 	13.4562	92 	148
532	62    	97.48 	11.4573	92 	128
533	59    	99.31 	12.6109	92 	130
534	52    	98.29 	13.1919	92 	143
535	62    	97.92 	12.194 	92 	141
536	61    	98.62 	12.1407	92 	132
537	67    	97.7  	12.1025	92 	134
538	64    	97.95 	11.5355	92 	132
539	57    	98.47 	12.9765	92 	138
540	50    	97.23 	11.2248	92 	141
541	66    	98.02 	11.9315	92 	130
542	62    	97.3  	11.5017	92 	131
543	64    	99.63 	13.2111	89 	137
544	46    	96.32 	9.53822	89 	132
545	60    	96.83 	11.1257	89 	135
546	66    	97.58 	12.1616	89 	134
547	52    	98.66 	13.4939	89 	134
548	65    	96.96 	13.1635	89 	139
549	62    	95.17 	11.1965	89 	132
550	65    	95.9  	12.1041	89 	130
551	63    	95.71 	13.0807	88 	143
552	40    	91.08 	7.50024	88 	126
553	56    	95.98 	12.7295	88 	129
554	48    	94.2  	11.7167	88 	128
555	73    	95.76 	13.9858	88 	138
556	51    	92.72 	11.3164	88 	139
557	61    	91.74 	9.77509	88 	126
558	57    	92.92 	11.4862	88 	130
559	68    	94.14 	12.3919	88 	133
560	54    	93    	11.0327	88 	132
561	61    	92.86 	11.3526	88 	126
562	56    	93.35 	12.4911	88 	129
563	54    	92.43 	10.4281	88 	125
564	53    	93.72 	11.7355	88 	126
565	57    	93.55 	12.056 	88 	130
566	51    	92.55 	11.2057	88 	131
567	59    	92.66 	10.8307	88 	126
568	62    	94.46 	12.8611	88 	132
569	54    	94.68 	13.2672	88 	133
570	43    	93.55 	11.774 	88 	125
571	68    	93.5  	11.8933	88 	126
572	68    	93.87 	12.4166	88 	130
573	66    	95.76 	13.5286	88 	133
574	57    	94.43 	12.1945	88 	127
575	63    	95.38 	13.152 	88 	131
576	60    	94.26 	12.6686	88 	131
577	60    	92.66 	11.1966	88 	129
578	66    	94.54 	12.67  	88 	128
579	50    	95.44 	12.8346	88 	128
580	56    	95.8  	13.6176	88 	137
581	74    	96.32 	13.9763	88 	135
582	69    	93.73 	11.979 	88 	136
583	62    	96.13 	14.4351	88 	135
584	65    	94.14 	12.466 	88 	130
585	58    	96.25 	14.3146	88 	135
586	73    	95.58 	13.247 	88 	134
587	54    	92.45 	11.2733	88 	128
588	61    	93.26 	12.3949	88 	137
589	53    	92.58 	11.2988	88 	130
590	62    	94.04 	12.1309	88 	129
591	58    	94.06 	12.4409	88 	131
592	72    	94.89 	12.6995	88 	130
593	55    	95.77 	13.7105	88 	131
594	59    	95.86 	14.481 	88 	146
595	70    	97.2  	15.0838	88 	133
596	60    	94.93 	13.1547	88 	131
597	62    	92.86 	11.0635	88 	126
598	54    	95.4  	13.9943	88 	134
599	58    	94.01 	12.6424	88 	134
600	66    	94.24 	13.1256	88 	134
601	65    	93.72 	12.0963	88 	129
602	66    	95.54 	13.835 	88 	134
603	64    	95.04 	13.082 	88 	134
604	58    	93.65 	11.997 	88 	127
605	65    	93.02 	11.3877	88 	127
606	53    	93.55 	11.7255	88 	126
607	52    	92.28 	11.0581	88 	136
608	62    	95.02 	12.6846	88 	129
609	68    	95.16 	13.4653	88 	132
610	53    	94.2  	12.4804	88 	132
611	53    	91.95 	9.91905	88 	129
612	59    	94.02 	12.5012	88 	133
613	51    	92.05 	10.2444	88 	125
614	57    	95.98 	14.2681	88 	136
615	58    	95.23 	13.6234	88 	135
616	58    	93.63 	12.091 	88 	137
617	60    	93.9  	12.4278	88 	132
618	56    	93.85 	12.368 	88 	130
619	58    	92.81 	11.6719	87 	131
620	65    	96.81 	14.312 	87 	129
621	63    	95.58 	13.2395	87 	130
622	63    	95.49 	13.568 	87 	136
623	54    	94.72 	13.4648	87 	131
624	59    	92.82 	11.0112	87 	128
625	58    	93.96 	12.9807	87 	136
626	72    	92.37 	10.8542	87 	127
627	56    	94.14 	13.274 	87 	126
628	50    	94.15 	12.8642	87 	133
629	56    	90.21 	9.5397 	87 	135
